Title,Day,Time Slot,Assignees,Identifier,Length,Labels,Date,ID,GitHub Pull Requests,Status
"Week 1: Jan 11th, 2025 - Top Builder Roadmap Ahead by Car Gonzalez",January Workshops,11:00 AM - 12:00 PM,,Top Builder Workshops,30 Minutes,,,LBTB-1,,Not started
"Week 1: Jan 11th, 2025 - Beyond the Hype: Validating Your Bitcoin Startup Idea with Teresa Martin",January Workshops,12:00 PM - 12:30 PM,,Top Builder Workshops,30 Minutes,,,LBTB-3,,Not started
"Week 1: Jan 11th, 2025 - Dr. Arman Meguerian",January Workshops,12:30 PM - 1:00 PM,,Top Builder Workshops,30 Minutes,,,LBTB-2,,Not started
"Week 2: Jan 18th, 2025 - Bitcoin Design UX & UI with Sam",January Workshops,12:00 PM - 12:30 PM,,Top Builder Workshops,30 Minutes,,,LBTB-4,,Not started
"Week 2: Jan 18th, 2025 - The Multiverse of Multisig with Topher Scott",January Workshops,12:30 PM - 1:00 PM,,Top Builder Workshops,1 Hour,,,LBTB-7,,Not started
"Week 3: Jan 25th, 2025 - Product, Users and Revenue with Santos Hernandez",January Workshops,12:00 PM - 12:30 PM,,Top Builder Workshops,30 Minutes,,,LBTB-8,,Not started
"Week 4: Feb 1st, 2025 - Bitcoin Marketing & Media with Brandon Keys",February Workshops,12:30 PM - 1:15 PM,,Top Builder Workshops,1.5 Hours,,,LBTB-5,,Not started
"Week 5: February 8th, 2025 - Top Builder: Round 2 Teams Announced by Car Gonzalez",February Workshops,11:30AM - 12:00PM,,Top Builder Workshops,30 Minutes,,,LBTB-9,,Not started
"Week 5: February 8th, 2025 - Bitcoin PR for Startups by Phil from 21M Communications",February Workshops,12:00 PM - 1:00 PM,,Top Builder Workshops,30 Minutes,,,LBTB-10,,Not started
"Week 5: February 8th, 2025 - with Stephen DeLorme",February Workshops,1:00 PM - 2:00 PM,,Top Builder Workshops,,,,LBTB-6,,Not started
"Week 6: February 15th, 2025 - Navigating the Legal Minefield of Bitcoin Startups with TBA",February Workshops,12:00 PM - 1:00 PM,,Top Builder Workshops,30 Minutes,,,LBTB-11,,Not started
"Week 7: February 22nd, 2025 - Top Builder: Final Round Teams Announced by Car Gonzalez",February Workshops,11:30AM - 12:00PM,,Top Builder Workshops,30 Minutes,,,LBTB-12,,Not started
"Week 7: February 22nd, 2025 - CPA",February Workshops,12:00 PM - 12:30 PM,,Top Builder Workshops,30 Minutes,,,LBTB-13,,Not started